id,name,active
country_allowance_45,OMANO SULTONATAS,TRUE
country_allowance_46,BAHREINO KARALYSTĖ,TRUE
country_allowance_47,PAKISTANO ISLAMO RESPUBLIKA,TRUE
country_allowance_48,PALAU RESPUBLIKA,FALSE
country_allowance_49,PANAMOS RESPUBLIKA,TRUE
country_allowance_50,PAPUA NAUJOJI GVINĖJA,FALSE
country_allowance_51,PARAGVAJAUS RESPUBLIKA,FALSE
country_allowance_52,PERU RESPUBLIKA,TRUE
country_allowance_53,PIETŲ AFRIKOS RESPUBLIKA,TRUE
country_allowance_54,PIETŲ SUDANO RESPUBLIKA,TRUE
country_allowance_55,PORTUGALIJOS RESPUBLIKA,TRUE
country_allowance_56,PRANCŪZIJOS RESPUBLIKA,TRUE
country_allowance_57,BALTARUSIJOS RESPUBLIKA,TRUE
country_allowance_58,PUERTO RIKAS,TRUE
country_allowance_59,PUSIAUJO GVINĖJOS RESPUBLIKA,FALSE
country_allowance_60,RYTŲ TIMORO DEMOKRATINĖ RESPUBLIKA,FALSE
country_allowance_61,RUANDOS RESPUBLIKA,TRUE
country_allowance_62,RUMUNIJA,TRUE
country_allowance_63,RUSIJOS FEDERACIJA (IŠSKYRUS MASKVĄ IR SANKT PETERBURGĄ),FALSE
country_allowance_64,SALIAMONO SALOS,FALSE
country_allowance_65,SALVADORO RESPUBLIKA,FALSE
country_allowance_66,SAMOA NEPRIKLAUSOMOJI VALSTYBĖ,FALSE
country_allowance_67,SAN MARINO RESPUBLIKA,TRUE
country_allowance_68,BANGLADEŠO LIAUDIES RESPUBLIKA,TRUE
country_allowance_69,SAN TOMĖ IR PRINSIPĖS DEMOKRATINĖ RESPUBLIKA,FALSE
country_allowance_70,SAUDO ARABIJOS KARALYSTĖ,TRUE
country_allowance_71,SEIŠELIŲ RESPUBLIKA,TRUE
country_allowance_72,SENEGALO RESPUBLIKA,TRUE
country_allowance_73,SENT KITSAS IR NEVIS,TRUE
country_allowance_74,SENT LUSIJA,FALSE
country_allowance_75,SENT VINSENTAS IR GRENADINAI,FALSE
country_allowance_76,SERBIJOS RESPUBLIKA,TRUE
country_allowance_77,SIERA LEONĖS RESPUBLIKA,FALSE
country_allowance_78,SINGAPŪRO RESPUBLIKA,TRUE
country_allowance_79,BARBADOSAS,FALSE
country_allowance_80,SIRIJOS ARABŲ RESPUBLIKA,TRUE
country_allowance_81,SLOVAKIJOS RESPUBLIKA,TRUE
country_allowance_82,SLOVĖNIJOS RESPUBLIKA,TRUE
country_allowance_83,SOMALIO RESPUBLIKA,FALSE
country_allowance_84,SUDANO RESPUBLIKA,TRUE
country_allowance_85,SUOMIJOS RESPUBLIKA,TRUE
country_allowance_86,SURINAMO RESPUBLIKA,FALSE
country_allowance_87,SVAZILANDO KARALYSTĖ,FALSE
country_allowance_88,ŠRI LANKOS DEMOKRATINĖ SOCIALISTINĖ RESPUBLIKA,TRUE
country_allowance_89,ŠVEDIJOS KARALYSTĖ,TRUE
country_allowance_90,BELGIJOS KARALYSTĖ,TRUE
country_allowance_91,ŠVEICARIJOS KONFEDERACIJA,TRUE
country_allowance_92,TADŽIKISTANO RESPUBLIKA,TRUE
country_allowance_93,TAILANDO KARALYSTĖ,TRUE
country_allowance_94,TAITIS,FALSE
country_allowance_95,TAIVANAS,TRUE
country_allowance_96,TANZANIJOS JUNGTINĖ RESPUBLIKA,TRUE
country_allowance_97,TOGO RESPUBLIKA,FALSE
country_allowance_98,TONGOS KARALYSTĖ,FALSE
country_allowance_99,TRINIDADO IR TOBAGO RESPUBLIKA,FALSE
country_allowance_100,TUNISO RESPUBLIKA,TRUE
country_allowance_101,BELIZAS,FALSE
country_allowance_102,TURKIJOS RESPUBLIKA,TRUE
country_allowance_103,TURKMĖNISTANAS,TRUE
country_allowance_104,TUVALU,FALSE
country_allowance_105,UGANDOS RESPUBLIKA,TRUE
country_allowance_106,UKRAINA,TRUE
country_allowance_107,URUGVAJAUS RYTŲ RESPUBLIKA,TRUE
country_allowance_108,UZBEKISTANO RESPUBLIKA,TRUE
country_allowance_109,VANUATU RESPUBLIKA,FALSE
country_allowance_110,VATIKANO MIESTO VALSTYBĖ,TRUE
country_allowance_111,VENESUELOS BOLIVARO RESPUBLIKA,TRUE
country_allowance_112,AIRIJA,TRUE
country_allowance_113,BENINO RESPUBLIKA,FALSE
country_allowance_114,VENGRIJOS RESPUBLIKA,TRUE
country_allowance_115,VIETNAMO SOCIALISTINĖ RESPUBLIKA,TRUE
country_allowance_116,VOKIETIJOS FEDERACINĖ RESPUBLIKA,TRUE
country_allowance_117,ZAMBIJOS RESPUBLIKA,TRUE
country_allowance_118,ZIMBABVĖS RESPUBLIKA,TRUE
country_allowance_119,ŽALIOJO KYŠULIO RESPUBLIKA,FALSE
country_allowance_120,BERMUDA,FALSE
country_allowance_121,BISAU GVINĖJOS RESPUBLIKA,FALSE
country_allowance_122,BOLIVIJOS DAUGIATAUTĖ VALSTYBĖ,FALSE
country_allowance_123,BOSNIJA IR HERCEGOVINA,TRUE
country_allowance_124,BOTSVANOS RESPUBLIKA,TRUE
country_allowance_125,BRAZILIJOS FEDERACINĖ RESPUBLIKA iki 2015-10-30,FALSE
country_allowance_126,BRUNĖJAUS DARUSALAMAS,TRUE
country_allowance_127,BULGARIJOS RESPUBLIKA,TRUE
country_allowance_128,BURKINA FASAS,TRUE
country_allowance_129,ALBANIJOS RESPUBLIKA,TRUE
country_allowance_130,BURUNDŽIO RESPUBLIKA,FALSE
country_allowance_131,BUTANO KARALYSTĖ,TRUE
country_allowance_132,BUVUSIOJI JUGOSLAVIJOS RESPUBLIKA MAKEDONIJA,TRUE
country_allowance_133,CENTRINĖS AFRIKOS RESPUBLIKA,FALSE
country_allowance_134,ČADO RESPUBLIKA,FALSE
country_allowance_135,ČEKIJOS RESPUBLIKA,TRUE
country_allowance_136,ČILĖS RESPUBLIKA,TRUE
country_allowance_137,DANIJOS KARALYSTĖ,TRUE
country_allowance_138,DOMINIKOS RESPUBLIKA,FALSE
country_allowance_139,DOMINIKOS SANDRAUGA,FALSE
country_allowance_140,ALŽYRO LIAUDIES DEMOKRATINĖ RESPUBLIKA,TRUE
country_allowance_141,DRAMBLIO KAULO KRANTO RESPUBLIKA,TRUE
country_allowance_142,DŽIBUČIO RESPUBLIKA,FALSE
country_allowance_143,EGIPTO ARABŲ RESPUBLIKA,TRUE
country_allowance_144,EKVADORO RESPUBLIKA,TRUE
country_allowance_145,ERITRĖJA,FALSE
country_allowance_146,ESTIJOS RESPUBLIKA,TRUE
country_allowance_147,ETIOPIJOS FEDERACINĖ DEMOKRATINĖ RESPUBLIKA,TRUE
country_allowance_148,FIDŽIO RESPUBLIKA,FALSE
country_allowance_149,FILIPINŲ RESPUBLIKA,TRUE
country_allowance_150,GABONO RESPUBLIKA,FALSE
country_allowance_151,ANDOROS KUNIGAIKŠTYSTĖ,TRUE
country_allowance_152,GAJANOS RESPUBLIKA,FALSE
country_allowance_153,GAMBIJOS RESPUBLIKA,FALSE
country_allowance_154,GANOS RESPUBLIKA,TRUE
country_allowance_155,GIBRALTARAS,FALSE
country_allowance_156,GRAIKIJOS RESPUBLIKA,TRUE
country_allowance_157,GRENADA,FALSE
country_allowance_158,GRUZIJA,TRUE
country_allowance_159,GVADELUPA,FALSE
country_allowance_160,GVATEMALOS RESPUBLIKA,TRUE
country_allowance_161,GVINĖJOS RESPUBLIKA,FALSE
country_allowance_162,ANGOLOS RESPUBLIKA,TRUE
country_allowance_163,HAIČIO RESPUBLIKA,FALSE
country_allowance_164,HONDŪRO RESPUBLIKA,FALSE
country_allowance_165,INDIJOS RESPUBLIKA,TRUE
country_allowance_166,INDONEZIJOS RESPUBLIKA,TRUE
country_allowance_167,IRAKO RESPUBLIKA,TRUE
country_allowance_168,IRANO ISLAMO RESPUBLIKA,TRUE
country_allowance_169,ISLANDIJOS RESPUBLIKA,TRUE
country_allowance_170,ISPANIJOS KARALYSTĖ,TRUE
country_allowance_171,ITALIJOS RESPUBLIKA,TRUE
country_allowance_172,IZRAELIO VALSTYBĖ,TRUE
country_allowance_173,ANTIGVA IR BARBUDA,FALSE
country_allowance_174,Ypatingasis Administracinis Kinijos Regionas Honkongas,TRUE
country_allowance_175,Ypatingasis Administracinis Kinijos Regionas MAKAO,TRUE
country_allowance_176,JAMAIKA,FALSE
country_allowance_177,JAPONIJA,TRUE
country_allowance_178,JEMENO RESPUBLIKA,TRUE
country_allowance_179,JORDANIJOS HAŠIMITŲ KARALYSTĖ,TRUE
country_allowance_180,JUNGTINĖ DIDŽIOSIOS BRITANIJOS IR ŠIAURĖS AIRIJOS KARALYSTĖ,TRUE
country_allowance_181,JUNGTINĖS AMERIKOS VALSTIJOS (IŠSKYRUS NIUJORKĄ),FALSE
country_allowance_182,JUNGTINIAI ARABŲ EMYRATAI,TRUE
country_allowance_183,JUODKALNIJA,TRUE
country_allowance_184,ARGENTINOS RESPUBLIKA,TRUE
country_allowance_185,KAIMANŲ SALOS,TRUE
country_allowance_186,KAMBODŽOS KARALYSTĖ,TRUE
country_allowance_187,KAMERŪNO RESPUBLIKA,FALSE
country_allowance_188,KANADA,TRUE
country_allowance_189,KATARO VALSTYBĖ,TRUE
country_allowance_190,KAZACHSTANO RESPUBLIKA (IŠSKYRUS ASTANĄ IR ALMATĄ),FALSE
country_allowance_191,KENIJOS RESPUBLIKA,TRUE
country_allowance_192,KINIJOS LIAUDIES RESPUBLIKA,TRUE
country_allowance_193,KIPRO RESPUBLIKA,TRUE
country_allowance_194,KIRGIZIJOS RESPUBLIKA,TRUE
country_allowance_195,ARMĖNIJOS RESPUBLIKA,TRUE
country_allowance_196,KIRIBAČIO RESPUBLIKA,FALSE
country_allowance_197,KOLUMBIJOS RESPUBLIKA,TRUE
country_allowance_198,KOMORŲ SĄJUNGA,FALSE
country_allowance_199,KONGO RESPUBLIKA,FALSE
country_allowance_200,KONGO DEMOKRATINĖ RESPUBLIKA,TRUE
country_allowance_201,KORĖJOS RESPUBLIKA,TRUE
country_allowance_202,KORĖJOS LIAUDIES DEMOKRATINĖ RESPUBLIKA,TRUE
country_allowance_203,KOSOVO RESPUBLIKA,TRUE
country_allowance_204,KOSTA RIKOS RESPUBLIKA,TRUE
country_allowance_205,KROATIJOS RESPUBLIKA Nuo 2015-07-03,FALSE
country_allowance_206,ASTANA IR ALMATA,FALSE
country_allowance_207,MASKVA,FALSE
country_allowance_208,NIUJORKAS,FALSE
country_allowance_209,Nuo 2015-11-01 iki 2016-09-30,FALSE
country_allowance_210,Nuo 2016-10-01,FALSE
country_allowance_211,RYGA,FALSE
country_allowance_212,SANKT PETERBURGAS,FALSE
country_allowance_lt,Lietuvos Respublika,TRUE
country_allowance_kita,KITOS VALSTYBĖS,TRUE
country_allowance_213,BRAZILIJOS FEDERACINĖ RESPUBLIKA,TRUE
country_allowance_214,Jungtinės Amerikos Valstijos,TRUE
country_allowance_215,Kazachstano Respublika,TRUE
country_allowance_216,Kroatijos Respublika,TRUE
country_allowance_217,Latvijos Respublika,TRUE
country_allowance_218,Madagaskaro Demokratinė Respublika,TRUE
country_allowance_219,Papua Naujosios Gvinėjos Nepriklausomoji Valstybė,TRUE
country_allowance_220,Rusijos Federacija,TRUE
