id,gpm_proc,description,code
l10n_lt_payroll.a_klase_kodas_11,15,"Privalomai registruotino kilnojamojo daikto arba daikto, kuris nekilnojamuoju pripažįstamas pagal įstatymus, pardavimo ar kitokio perleidimo nuosavybėn išmokos nenuolatiniam Lietuvos gyventojui",16
l10n_lt_payroll.a_klase_kodas_12,15,Nekilnojamojo pagal prigimtį daikto pardavimo ar kitokio perleidimo nuosavybėn išmokos (išskyrus žymimas 10 ir 18 kodais) nenuolatiniam Lietuvos gyventojui,17
l10n_lt_payroll.a_klase_kodas_13,15,Būsto (įskaitant priskirtą žemę) pardavimo ar kitokio perleidimo nuosavybėn išmokos ,18
l10n_lt_payroll.a_klase_kodas_14,15,Nekilnojamojo pagal prigimtį daikto nuomos išmokos,23
l10n_lt_payroll.a_klase_kodas_15,15,"Kito turto nuomos išmokos, išskyrus žymimas 23 kodu",24
l10n_lt_payroll.a_klase_kodas_16,15,"Išmokos iš paskirstytojo pelno (dividendai), įskaitant tarpininkų išmokėtus dividendus, gautus iš užsienio vienetų",26
l10n_lt_payroll.a_klase_kodas_17,20,Neribotos civilinės atsakomybės vieneto savo dalyviui –  – išmokėtos išmokos iš pelno po apmokestinimo,27
l10n_lt_payroll.a_klase_kodas_18,15,Neribotos civilinės atsakomybės vieneto savo dalyviui – nenuolatiniam Lietuvos gyventojui – išmokėtos išmokos ne iš pelno mokesčiu apmokestinto pelno,28
l10n_lt_payroll.a_klase_kodas_19,15,Kooperatinės bendrovės (kooperatyvo) savo dalyviui (nariui) išmokėtos išmokos iš paskirstytojo pelno,29
l10n_lt_payroll.a_klase_kodas_20,15,"Prizai ir laimėjimai, išmokėti ne darbdavio, išskyrus žymimus 07 kodu",31
l10n_lt_payroll.a_klase_kodas_21,15,Juridinių asmenų (nesusijusių su darbo ar jų esmę atitinkančiais santykiais) padovanotos dovanos,46
l10n_lt_payroll.a_klase_kodas_22,0,"Pensijos, pensijų anuitetai, rentos",48
l10n_lt_payroll.a_klase_kodas_23,0,"Pensijų kaupimo išmokos, ne didesnės už sumokėtas įmokas",71
l10n_lt_payroll.a_klase_kodas_24,0,"Gyvybės draudimo išmokos, ne didesnės už sumokėtas įmokas",72
l10n_lt_payroll.a_klase_kodas_25,0,"Gyvybės draudimo išmokos, viršijančios sumokėtas įmokas",75
l10n_lt_payroll.a_klase_kodas_26,0,"Pensijų kaupimo išmokos, viršijančios sumokėtas įmokas",76
l10n_lt_payroll.a_klase_kodas_27,0,"Indėlių palūkanos už EEE valstybių kredito įstaigose laikomus indėlius pagal sutartis, sudarytas iki 2013 m. gruodžio 31 d.",56
l10n_lt_payroll.a_klase_kodas_28,15,Palūkanos už paskolas,58
l10n_lt_payroll.a_klase_kodas_29,15,"Kitos palūkanos, išskyrus žymimas 56, 58, 64, 65, 66, 67, 68 ir 69 kodais",59
l10n_lt_payroll.a_klase_kodas_30,15,"Indėlių palūkanos pagal sutartis, sudarytas nuo 2014 m. sausio 1 d.",64
l10n_lt_payroll.a_klase_kodas_31,0,"Palūkanos už EEE valstybių vyriausybių arba jų politinių ar teritorijos administracinių padalinių vertybinius popierius, įsigytus iki 2013 m. gruodžio 31 d.",65
l10n_lt_payroll.a_klase_kodas_32,0,"Palūkanos už ne nuosavybės vertybinius popierius*, įsigytus iki 2013 m. gruodžio 31 d. ir pradėtus išpirkti ne anksčiau kaip po 366 dienų nuo jų išleidimo dienos",66
l10n_lt_payroll.a_klase_kodas_33,15,"Palūkanos už ne nuosavybės vertybinius popierius* (įskaitant Lietuvos ir užsienio valstybių politinių ar teritorijos administracinių padalinių ar vietos valdžios ne nuosavybės vertybinius popierius), įsigytus nuo 2014 m. sausio 1 d.",67
l10n_lt_payroll.a_klase_kodas_34,15,"Pavėluoto mokėjimo palūkanos, numatytos atsiskaitymą už žemės ūkio produkciją reglamentuojančiuose LR teisės aktuose",68
l10n_lt_payroll.a_klase_kodas_35,0,Palūkanos už LR Vyriausybės ne nuosavybės vertybinius popierius,69
l10n_lt_payroll.a_klase_kodas_36,0,"Kompensacinės išmokos, išmokėtos pagal LR žemės ūkio, maisto ūkio ir kaimo plėtros įstatymą bei pagal kitus tokių išmokų mokėjimą reglamentuojančius teisės aktus",33
l10n_lt_payroll.a_klase_kodas_37,0,"Pelno nesiekiančių vienetų iš lėšų, sukauptų iš nario mokesčio, savo nariams išmokėtos pašalpos, išskyrus pašalpas, išmokėtas vieneto, su gyventoju susijusio darbo santykiais ar jų esmę atitinkančiais santykiais",37
l10n_lt_payroll.a_klase_kodas_38,0,"Pelno nesiekiančio vieneto gyventojui išmokėta premija, kuri pagal GPMĮ 17 straipsnio 1 dalies 52 punkto nuostatas neapmokestinama pajamų mokesčiu",38
l10n_lt_payroll.a_klase_kodas_39,0,"Gyventojui išmokėta premija, kuri pagal GPMĮ 17 straipsnio 1 dalies 36 punkto nuostatas neapmokestinama pajamų mokesčiu",39
l10n_lt_payroll.a_klase_kodas_40,20,Valdybos ir stebėtojų tarybos nariui išmokėtos metinės išmokos (tantjemos) ir / arba išmokos už vykdytas valdymo funkcijas,44
l10n_lt_payroll.a_klase_kodas_41,0,Stipendijos,47
l10n_lt_payroll.a_klase_kodas_42,15,"Sporto veiklos, kuri nėra individuali veikla ir nesusijusi su darbo ar jų esmę atitinkančiais santykiais, išmokos",51
l10n_lt_payroll.a_klase_kodas_43,15,"Atlikėjo veiklos, kuri nėra individuali veikla ir nesusijusi su darbo ar jų esmę atitinkančiais santykiais, išmokos",52
l10n_lt_payroll.a_klase_kodas_44,15,Ne darbdavio išmokėti autoriniai atlyginimai,61
l10n_lt_payroll.a_klase_kodas_45,15,"Honorarai (įskaitant tarpininkų išmokėtus honorarus, gautus iš užsienio vienetų)",62
l10n_lt_payroll.a_klase_kodas_46,15,Kitos su darbo santykiais nesusijusios ir ne individualios veiklos išmokos,70
l10n_lt_payroll.a_klase_kodas_47,0,"Darbuotojo naudai darbdavio mokamų draudimo įmokų už papildomą (savanorišką) sveikatos draudimą suma, kuri pagal GPMĮ 17 straipsnio 1 dalies 14 arba 141 punkto nuostatas neapmokestinama pajamų mokesčiu",73
l10n_lt_payroll.a_klase_kodas_48,0,"Darbuotojo naudai darbdavio mokamų gyvybės draudimo įmokų ir pensijų įmokų suma, kuri pagal GPMĮ 17 straipsnio 1 dalies 14 arba 141 punkto nuostatas neapmokestinama pajamų mokesčiu",74
l10n_lt_payroll.a_klase_kodas_49,20,"Individualią žemės ūkio veiklą vykdančiam gyventojui asmens, su kuriuo gyventojas susijęs darbo santykiais ar jų esmę atitinkančiais santykiais, išmokėtos išmokos",35
l10n_lt_payroll.a_klase_kodas_50,20,"Kitą individualią veiklą vykdančiam gyventojui išmokėtos išmokos, išskyrus žymimas 35, 94 ir 95 kodais",93
l10n_lt_payroll.a_klase_kodas_51,20,Individualią sporto veiklą vykdančiam gyventojui išmokėtos išmokos,94
l10n_lt_payroll.a_klase_kodas_52,20,Individualią atlikėjo veiklą vykdančiam gyventojui išmokėtos išmokos,95
l10n_lt_payroll.a_klase_kodas_53,15,"Iki 2018 m. gruodžio 31 d. apskaičiuotos su darbo santykiais
arba jų esmę atitinkančiais santykiais susijusios išmokos,
išmokėtos 2019 metais ir vėlesniais mokestiniais laikotarpiais",04
l10n_lt_payroll.a_klase_kodas_54,0,"Ligos išmokos jūrininkams, kurios neapmokestinamos pagal GPMĮ 17 straipsnio 1 dalies 45 punktą ",09
l10n_lt_payroll.a_klase_kodas_55,0,"Sporto varžybų prizas (išskyrus žymimus 31 kodu), jeigu šį prizą įsteigia ir skiria olimpiniam, parolimpiniam, regos, klausos ar judėjimo negalią turinčių asmenų sporto judėjimams Lietuvoje  vadovaujančios nevyriausybinės organizacijos, tarptautinės sporto šakų federacijos ar šių federacijų nariai, Lietuvos sporto šakų federacijos",30
l10n_lt_payroll.a_klase_kodas_56,20,"Palūkanos už vartojimo kreditą, suteiktą per tarpusavio skolinimo platformą, ir / arba palūkanos už lėšas, suteiktas per sutelktinio finansavimo platformą",55
l10n_lt_payroll.a_klase_kodas_57,15,"Vieneto (išskyrus pelno nesiekiantį vienetą) mokymo įstaigų studentams ir moksleiviams pagal vieneto, mokymo įstaigos ir studento ar moksleivio pasirašytas trišales sutartis mokama stipendija, skirta studento ar moksleivio mokymosi ir pragyvenimo reikmėms apmokėti, jeigu stipendijos mokėjimo laikotarpiu stipendijos gavėjas nėra stipendiją mokančio vieneto daugiau kaip 10 procentų akcijų (dalių, pajų) savininkas, darbuotojas arba stipendiją mokančio vieneto daugiau kaip 10 procentų akcijų (dalių, pajų) savininko arba darbuotojo šeimos narys ir tokia stipendija nėra susijusi su stipendijos gavėjo šiems vienetams atliktais arba atliekamais darbais, suteiktomis arba teikiamomis paslaugomis, kai metinė stipendijos suma viršija 2 500 eurų",45
l10n_lt_payroll.a_klase_kodas_58,20,"Darbdavio išmokėti autoriniai atlyginimai
",60
l10n_lt_payroll.a_klase_kodas_59,15,"Pagal paslaugų sutartį už ne individualios veiklos paslaugas išmokėtos apmokestinamosios išmokos, išskyrus išmokas, kurioms žymėti nustatytas specialus kodas",77
l10n_lt_payroll.a_klase_kodas_60,0,"GPMĮ 17 straipsnio 1 dalyje nurodytos neapmokestinamosios išmokos, išskyrus neapmokestinamas išmokas, kurioms žymėti nustatytas specialus kodas",78
l10n_lt_payroll.a_klase_kodas_61,20,MB vadovui (ne nariui) pagal civilinių paslaugų sutartį už vadovavimo veiklą išmokėtos išmokos,89
