id,include_base_amount,active,long_description,child_tax_ids/id,children_tax_ids/id,analytic,price_include,code,description,amount_type,name,account_id/id,sequence,show_description,amount,refund_account_id/id,type_tax_use,tax_adjustment,company_id/id,tag_ids/id
l10n_lt.1_account_tax_pvm33,False,True,Šalies teritorijoje patiektų prekių ir / ar suteiktų paslaugų lengvatinis 9 proc. PVM tarifas (PVMĮ 19 str. 3 dalis),,,False,False,PVM2,9%,Percentage of Price,Pardavimas Šalies Teritorijoje (9%),l10n_lt.1_account_398,2,True,9,l10n_lt.1_account_398,Pardavimai,False,base.main_company,"l10n_lt.tax11,l10n_lt.tax30"
l10n_lt.1_account_tax_pvm33p,False,True,Šalies teritorijoje patiektų prekių ir / ar suteiktų paslaugų lengvatinis 9 proc. PVM tarifas (PVMĮ 19 str. 3 dalis),,,False,True,PVM2,9%,Percentage of Price,Pardavimas Šalies Teritorijoje (9%) su PVM,l10n_lt.1_account_398,2,True,9,l10n_lt.1_account_398,Pardavimai,False,base.main_company,"l10n_lt.tax11,l10n_lt.tax30"
l10n_lt.1_account_tax_pvm34,False,True,"Šalies teritorijoje patiektų prekių ir / ar suteiktų paslaugų lengvatinis 5 proc. PVM tarifas (PVMĮ 19 str. 4, 5 dalis)",,,False,False,PVM3,5%,Percentage of Price,Pardavimas Šalies Teritorijoje (5%),l10n_lt.1_account_398,3,True,5,l10n_lt.1_account_398,Pardavimai,False,base.main_company,"l10n_lt.tax11,l10n_lt.tax31"
l10n_lt.1_account_tax_pvm34p,False,True,"Šalies teritorijoje patiektų prekių ir / ar suteiktų paslaugų lengvatinis 5 proc. PVM tarifas (PVMĮ 19 str. 4, 5 dalis)",,,False,True,PVM3,5%,Percentage of Price,Pardavimas Šalies Teritorijoje (5%) su PVM,l10n_lt.1_account_398,3,True,5,l10n_lt.1_account_398,Pardavimai,False,base.main_company,"l10n_lt.tax11,l10n_lt.tax31"
l10n_lt.1_account_tax_pvm35,False,True,Šalies teritorijoje patiektų prekių ir / ar suteiktų paslaugų standartinis PVM tarifas (PVMĮ 19 str. 1 ir 2 dalis),,,False,False,PVM1,21%,Percentage of Price,Pirkimas Šalies Teritorijoje (21%) - Atskaitoma,l10n_lt.1_account_246,1,False,21,l10n_lt.1_account_246,Pirkimai,False,base.main_company,"l10n_lt.tax35,l10n_lt.tax25"
l10n_lt.1_account_tax_pvm36,False,True,"Atvejai, kai pirkėjas išskaito ir sumoka PVM už jam tiekiamas prekes ar teikiamas paslaugas (PVMĮ 96 str.)",l10n_lt.1_account_tax_101_s,,False,False,PVM25,-21% (PVMĮ 96 str.),Percentage of Price,Pirkėjas Moka PVM 96 str. (21%),l10n_lt.1_account_399,7,True,-21,l10n_lt.1_account_399,Pardavimai,False,base.main_company,l10n_lt.tax12
l10n_lt.1_account_tax_pvm36p,False,True,"Atvejai, kai pirkėjas išskaito ir sumoka PVM už jam tiekiamas prekes ar teikiamas paslaugas (PVMĮ 96 str.)",l10n_lt.1_account_tax_101_s,,False,True,PVM25,-21% (PVMĮ 96 str.),Percentage of Price,Pirkėjas Moka PVM 96 str. (21%) su PVM,l10n_lt.1_account_399,7,True,-21,l10n_lt.1_account_399,Pardavimai,False,base.main_company,l10n_lt.tax12
l10n_lt.1_account_tax_pvm37,False,True,"Už Lietuvos ribų įvykę sandoriai (atvejai, kai PVM neskaičiuojamas, nes prekių tiekimas ir / ar paslaugų teikimas laikomas įvykusiu už Lietuvos ribų ir yra ne PVM objektas Lietuvoje, o PVM atskaita atsižvelgiant į PVMĮ 58 str. nuostatas negalima)",,,False,False,PVM34,0,Percentage of Price,Sandoriai už Lietuvos ribų (Neatskaitoma),,13,True,0,,Pardavimai,False,base.main_company,l10n_lt.tax20
l10n_lt.1_account_tax_pvm37p,False,True,"Už Lietuvos ribų įvykę sandoriai (atvejai, kai PVM neskaičiuojamas, nes prekių tiekimas ir / ar paslaugų teikimas laikomas įvykusiu už Lietuvos ribų ir yra ne PVM objektas Lietuvoje, o PVM atskaita atsižvelgiant į PVMĮ 58 str. nuostatas negalima)",,,False,True,PVM34,0,Percentage of Price,Sandoriai už Lietuvos ribų (Neatskaitoma) su PVM,,13,True,0,,Pardavimai,False,base.main_company,l10n_lt.tax20
l10n_lt.1_account_tax_pvm38,False,True,"Atvejai, kai prekių tiekimas ir paslaugų teikimas neapmokestinamas PVM (PVMĮ 20–33 str., 112 str. 1 ir 2 d.)",,,False,False,PVM5,"Neapmokestinama (PVMĮ 20–33 str., 112 str. 1 ir 2 d.)",Percentage of Price,PVM Neapmokestinami sandoriai,,4,True,0,,Pardavimai,False,base.main_company,l10n_lt.tax13
l10n_lt.1_account_tax_pvm38p,False,True,"Atvejai, kai prekių tiekimas ir paslaugų teikimas neapmokestinamas PVM (PVMĮ 20–33 str., 112 str. 1 ir 2 d.)",,,False,True,PVM5,"Neapmokestinama (PVMĮ 20–33 str., 112 str. 1 ir 2 d.)",Percentage of Price,PVM Neapmokestinami sandoriai su PVM,,4,True,0,,Pardavimai,False,base.main_company,l10n_lt.tax13
l10n_lt.1_account_tax_pvm39,False,True,"Atvejai, kai pirkėjas išskaito ir sumoka PVM už jam tiekiamas prekes ar teikiamas paslaugas (PVMĮ 96 str.)",l10n_lt.1_account_tax_pvm100_s,,False,False,PVM26,9% (PVMĮ 96 str.),Percentage of Price,Pirkėjas Moka PVM 96 str. (9%),l10n_lt.1_account_399,14,True,-9,l10n_lt.1_account_399,Pardavimai,False,base.main_company,l10n_lt.tax12
l10n_lt.1_account_tax_pvm39p,False,True,"Atvejai, kai pirkėjas išskaito ir sumoka PVM už jam tiekiamas prekes ar teikiamas paslaugas (PVMĮ 96 str.)",l10n_lt.1_account_tax_pvm100_s,,False,True,PVM26,9% (PVMĮ 96 str.),Percentage of Price,Pirkėjas Moka PVM 96 str. (9%) su PVM,l10n_lt.1_account_399,14,True,-9,l10n_lt.1_account_399,Pardavimai,False,base.main_company,l10n_lt.tax12
l10n_lt.1_account_tax_pvm4,False,True,,,,False,False,PVM23,9%,Percentage of Price,Sumokėtas Importo PVM (9%) - Atskaitomas,l10n_lt.1_account_247,13,False,9,l10n_lt.1_account_247,Pirkimai,False,base.main_company,"l10n_lt.tax35,l10n_lt.tax26"
l10n_lt.1_account_tax_pvm40,False,True,"Atvejai, kai pirkėjas išskaito ir sumoka PVM už jam tiekiamas prekes ar teikiamas paslaugas (PVMĮ 96 str.)",l10n_lt.1_account_tax_102_s,,False,False,PVM27,5% (PVMĮ 96 str.),Percentage of Price,Pirkėjas Moka PVM 96 str. (5%),l10n_lt.1_account_399,15,True,-5,l10n_lt.1_account_399,Pardavimai,False,base.main_company,l10n_lt.tax12
l10n_lt.1_account_tax_pvm40p,False,True,"Atvejai, kai pirkėjas išskaito ir sumoka PVM už jam tiekiamas prekes ar teikiamas paslaugas (PVMĮ 96 str.)",l10n_lt.1_account_tax_102_s,,False,True,PVM27,5% (PVMĮ 96 str.),Percentage of Price,Pirkėjas Moka PVM 96 str. (5%) su PVM,l10n_lt.1_account_399,15,True,-5,l10n_lt.1_account_399,Pardavimai,False,base.main_company,l10n_lt.tax12
l10n_lt.1_account_tax_pvm41,False,True,"Atvejai, kai pirkėjas išskaito ir sumoka PVM už jam tiekiamas prekes ar teikiamas paslaugas (PVMĮ 96 str.)",l10n_lt.1_account_tax_pvm60,,False,False,PVM25,21% (PVMĮ 96 str.),Percentage of Price,96 str. (21%),l10n_lt.1_account_248,25,True,21,l10n_lt.1_account_248,Pirkimai,False,base.main_company,"l10n_lt.tax35,l10n_lt.tax25,l10n_lt.tax33"
l10n_lt.1_account_tax_pvm42,False,True,"Atvejai, kai prekės (paslaugos) yra suvartotos PVM mokėtojo privatiems poreikiams tenkinti (PVMĮ 5 ir 8 str.)",,,False,False,PVM8,5%,Percentage of Price,Suvartojimas Privatiems Poreikiams (5%),l10n_lt.1_account_248,16,True,5,l10n_lt.1_account_248,Pardavimai,False,base.main_company,"l10n_lt.tax14,l10n_lt.tax31"
l10n_lt.1_account_tax_pvm42p,False,True,"Atvejai, kai prekės (paslaugos) yra suvartotos PVM mokėtojo privatiems poreikiams tenkinti (PVMĮ 5 ir 8 str.)",,,False,True,PVM8,5%,Percentage of Price,Suvartojimas Privatiems Poreikiams (5%) su PVM,l10n_lt.1_account_248,16,True,5,l10n_lt.1_account_248,Pardavimai,False,base.main_company,"l10n_lt.tax14,l10n_lt.tax31"
l10n_lt.1_account_tax_pvm43,False,True,"Atvejai, kai prekės (paslaugos) yra suvartotos PVM mokėtojo privatiems poreikiams tenkinti (PVMĮ 5 ir 8 str.)",,,False,False,PVM28,0%,Percentage of Price,Suvartojimas Privatiems Poreikiams (0%),l10n_lt.1_account_248,17,True,0,l10n_lt.1_account_248,Pardavimai,False,base.main_company,
l10n_lt.1_account_tax_pvm43p,False,True,"Atvejai, kai prekės (paslaugos) yra suvartotos PVM mokėtojo privatiems poreikiams tenkinti (PVMĮ 5 ir 8 str.)",,,False,True,PVM28,0%,Percentage of Price,Suvartojimas Privatiems Poreikiams (0%) su PVM,l10n_lt.1_account_248,17,True,0,l10n_lt.1_account_248,Pardavimai,False,base.main_company,
l10n_lt.1_account_tax_pvm44,False,True,"Atvejai, kai prekės (paslaugos) yra suvartotos PVM mokėtojo privatiems poreikiams tenkinti (PVMĮ 5 ir 8 str.)",,,False,False,PVM7,9%,Percentage of Price,Suvartojimas Privatiems Poreikiams (9%),l10n_lt.1_account_248,18,True,9,l10n_lt.1_account_248,Pardavimai,False,base.main_company,"l10n_lt.tax14,l10n_lt.tax30"
l10n_lt.1_account_tax_pvm44p,False,True,"Atvejai, kai prekės (paslaugos) yra suvartotos PVM mokėtojo privatiems poreikiams tenkinti (PVMĮ 5 ir 8 str.)",,,False,True,PVM7,9%,Percentage of Price,Suvartojimas Privatiems Poreikiams (9%) su PVM,l10n_lt.1_account_248,18,True,9,l10n_lt.1_account_248,Pardavimai,False,base.main_company,"l10n_lt.tax14,l10n_lt.tax30"
l10n_lt.1_account_tax_pvm45,False,True,Prekių eksportas (0 proc. PVM tarifas) (PVMĮ 41 str.),,,False,False,PVM12,0%,Percentage of Price,Prekių eksportas (0%),,5,True,0,,Pardavimai,False,base.main_company,l10n_lt.tax17
l10n_lt.1_account_tax_pvm45p,False,True,Prekių eksportas (0 proc. PVM tarifas) (PVMĮ 41 str.),,,False,True,PVM12,0%,Percentage of Price,Prekių eksportas (0%) su PVM,,5,True,0,,Pardavimai,False,base.main_company,l10n_lt.tax17
l10n_lt.1_account_tax_pvm46,False,True,"ES PVM mokėtojams patiektos prekės (0 proc. PVM tarifas) (PVMĮ 49 straipsnis, išskyrus 49 str. 2, 3 d.)",,,False,False,PVM13,0%,Percentage of Price,ES PVM mokėtojai (0%),,6,True,0,,Pardavimai,False,base.main_company,l10n_lt.tax18
l10n_lt.1_account_tax_pvm46p,False,True,"ES PVM mokėtojams patiektos prekės (0 proc. PVM tarifas) (PVMĮ 49 straipsnis, išskyrus 49 str. 2, 3 d.)",,,False,True,PVM13,0%,Percentage of Price,ES PVM mokėtojai (0%) su PVM,,6,True,0,,Pardavimai,False,base.main_company,l10n_lt.tax18
l10n_lt.1_account_tax_pvm47,False,True,"Kiti PVM apmokestinami sandoriai (0 proc. PVM tarifas) (PVMĮ 42, 43, 44, 45, 46, 47, 48, 49 str. 2 ir 3 dalys, 51, 52, 53 str. 1, 5, 6, 10 d.)",,,False,False,PVM14,0%,Percentage of Price,Kiti PVM apmokestinami sandoriai (0%),,19,True,0,,Pardavimai,False,base.main_company,l10n_lt.tax19
l10n_lt.1_account_tax_pvm47p,False,True,"Kiti PVM apmokestinami sandoriai (0 proc. PVM tarifas) (PVMĮ 42, 43, 44, 45, 46, 47, 48, 49 str. 2 ir 3 dalys, 51, 52, 53 str. 1, 5, 6, 10 d.)",,,False,True,PVM14,0%,Percentage of Price,Kiti PVM apmokestinami sandoriai (0%) su PVM,,19,True,0,,Pardavimai,False,base.main_company,l10n_lt.tax19
l10n_lt.1_account_tax_pvm48,False,True,"Pagal LR PVM įst. 13 str. 2 d./ Directive 2006/112/EB/44 arc. Atvirkštinis apmokestinimas. Reverse charge.",,,False,False,PVM15,0%,Percentage of Price,Sandoriai už Lietuvos ribų (Atskaitoma),,20,True,0,,Pardavimai,False,base.main_company,l10n_lt.tax20
l10n_lt.1_account_tax_pvm48p,False,True,"Pagal LR PVM įst. 13 str. 2 d./ Directive 2006/112/EB/44 arc. Atvirkštinis apmokestinimas. Reverse charge.",,,False,True,PVM15,0%,Percentage of Price,Sandoriai už Lietuvos ribų (Atskaitoma) su PVM,,20,True,0,,Pardavimai,False,base.main_company,l10n_lt.tax20
l10n_lt.1_account_tax_pvm49,False,True,Šalies teritorijoje patiektų prekių ir / ar suteiktų paslaugų standartinis PVM tarifas (PVMĮ 19 str. 1 ir 2 dalis),,,True,False,PVM1,21%,Percentage of Price,Pirkimas Šalies Teritorijoje (21%) - Neatskaitoma,l10n_lt.1_account_484,42,False,21,l10n_lt.1_account_484,Pirkimai,False,base.main_company,l10n_lt.tax25
l10n_lt.1_account_tax_pvm5,False,True,,,,False,False,PVM23,21%,Percentage of Price,Sumokėtas Importo PVM (21%) - Atskaitomas,l10n_lt.1_account_247,14,False,21,l10n_lt.1_account_247,Pirkimai,False,base.main_company,"l10n_lt.tax35,l10n_lt.tax26"
l10n_lt.1_account_tax_pvm50,False,True,,,,False,False,PVM23,5%,Percentage of Price,Sumokėtas Importo PVM (5%) - Atskaitomas,l10n_lt.1_account_247,27,False,5,l10n_lt.1_account_247,Pirkimai,False,base.main_company,"l10n_lt.tax35,l10n_lt.tax26"
